# Data Version	4.3
# Objects set	4.3
# Tree version	FMA3.0
# FMA ID	is_a/part_of	model component
FMA10014	is_a	FJ3175
FMA10037	is_a	FJ3154
FMA10059	is_a	FJ3155
FMA10081	is_a	FJ3156
FMA15572	is_a	FJ3144
FMA15629	is_a	FJ3130
FMA15630	is_a	FJ3129
FMA15737	is_a	FJ1858+FJ2409+FJ2818+FJ2819+FJ2820+FJ2821+FJ2822+FJ2823+FJ2824
FMA15739	is_a	FJ2818
FMA15741	is_a	FJ2819
FMA15742	is_a	FJ2820
FMA15743	is_a	FJ2821
FMA15744	is_a	FJ2409+FJ2822
FMA15745	is_a	FJ2823
FMA15746	is_a	FJ2823+FJ2824
FMA15747	is_a	FJ1858
FMA15755	is_a	FJ2821+FJ2823+FJ2824
FMA15756	is_a	FJ2409+FJ2822+FJ2823
FMA15757	is_a	FJ2819+FJ2820
FMA15791	is_a	FJ3118+FJ3119+FJ3120+FJ3121
FMA15793	is_a	FJ1867+FJ3083+FJ3084+FJ3085+FJ3086
FMA15794	is_a	FJ3097+FJ3098+FJ3099+FJ3100+FJ3101+FJ4541+FJ5816
FMA15796	is_a	FJ3119
FMA15797	is_a	FJ3118+FJ3120
FMA15798	is_a	FJ3121
FMA15800	is_a	FJ3083+FJ3086
FMA15801	is_a	FJ3084+FJ3085
FMA15802	is_a	FJ3101
FMA15803	is_a	FJ3098
FMA15804	is_a	FJ3097+FJ3099+FJ3100+FJ4541+FJ5816
FMA15900	is_a	FJ3149
FMA16033	is_a	FJ3212
FMA16034	is_a	FJ3214
FMA16035	is_a	FJ3215
FMA16036	is_a	FJ3216
FMA16037	is_a	FJ3217
FMA16202	is_a	FJ3393+FJ6484
FMA16549	is_a	FJ3397+FJ4649
FMA16585	is_a	FJ3152+FJ3288
FMA16586	is_a	FJ3152
FMA16587	is_a	FJ3288
FMA16980	is_a	FJ2606+FJ2607+FJ2608+FJ2609+FJ2610+FJ2611+FJ2612+FJ2613+FJ2614+FJ2615+FJ2616+FJ2617+FJ2618+FJ2619+FJ2620+FJ2621+FJ2622+FJ2623+FJ2624+FJ2625+FJ2626+FJ2627+FJ2628
FMA16981	is_a	FJ2606+FJ2617+FJ2622+FJ2623+FJ2624+FJ2625+FJ2626+FJ2627
FMA16982	is_a	FJ2607+FJ2608+FJ2609+FJ2610+FJ2628
FMA16983	is_a	FJ2611+FJ2612+FJ2613+FJ2614+FJ2615+FJ2616+FJ2618+FJ2619+FJ2620+FJ2621
FMA17541	is_a	FJ1867+FJ3083+FJ3084+FJ3085+FJ3086+FJ3097+FJ3098+FJ3099+FJ3100+FJ3101+FJ3118+FJ3119+FJ3120+FJ3121+FJ4541+FJ5816
FMA18060	is_a	FJ1431+FJ1431M
FMA18151	is_a	FJ4024
FMA18157	is_a	FJ3926
FMA18247	is_a	FJ3134
FMA18255	is_a	FJ3136+FJ3141
FMA18256	is_a	FJ3141
FMA18257	is_a	FJ3136
